country,totalCases,totalNewCases,estimate,lower,upper,population,propCurrentlyInfMid,propCurrentlyInfLow,propCurrentlyInfHigh
North Macedonia,5603,1314,0.2292764346295347,0.184373798794204,0.2890069358520568,2083380,0.0055,0.0028,0.011
Norway,8793,162,0.5088356325652686,0.14459726584722335,0.9950155312313174,5421242,1.2e-4,3.9e-5,6.9e-4
Oman,34902,9633,0.9918556546161511,0.9574526186516792,0.9999999999999963,5106622,0.0038,0.0024,0.0066
Pakistan,195745,40985,0.6365798780547808,0.5571859325688474,0.7192295314332595,220892331,5.8e-4,3.4e-4,0.0011
Panama,29037,7075,0.7096907793969437,0.5809175324661954,0.8456671546407977,4314768,0.0046,0.0025,0.0094
Paraguay,1569,266,0.9379261310888627,0.7386312914758016,0.9999998867099971,7132530,8e-5,4.8e-5,1.7e-4
Peru,268602,31446,0.27031130584783647,0.23667046463518257,0.3058030341426047,32971846,0.0071,0.0041,0.013
Philippines,33069,6288,0.6253932139598793,0.46739026344459855,0.8115280843237803,109581085,1.8e-4,9.2e-5,4.1e-4
Poland,33119,2924,0.35568662989720556,0.2794044307152955,0.44362348147838077,37846605,4.3e-4,2.3e-4,9.2e-4
Portugal,40415,3079,0.9588606698548598,0.8656850807514442,0.9978264072059444,10196707,6.3e-4,3.9e-4,0.0012
Puerto Rico,6877,926,0.976452001043442,0.8809939812069147,0.9999992667146427,2860840,6.6e-4,4.2e-4,0.0012
Qatar,91838,9761,0.9671851505592899,0.7923201119459199,0.9999999999841976,2881060,0.007,0.0044,0.014
Romania,25286,2871,0.2315926716332782,0.1859889238093032,0.2801024880990486,19237682,0.0013,6.9e-4,0.0027
Russia,613994,68536,0.7407391702469098,0.6604552040961414,0.8195127459306266,145934460,0.0013,7.4e-4,0.0024
San Marino,698,4,0.8304819742642499,0.2588623007450997,0.9999999173066099,33938,2.8e-4,1.5e-4,0.0015
Sao Tome and Principe,711,40,0.8562764113470186,0.5383879966451629,0.9999838510854915,219161,4.3e-4,2.4e-4,0.0011
Saudi Arabia,170639,34324,0.7971506883165885,0.683915384355296,0.9073029791232687,34813867,0.0025,0.0014,0.0048
Senegal,6233,986,0.641085352578318,0.34574889883941845,0.9163769100024524,16743930,1.8e-4,8.3e-5,5.7e-4
Serbia,13372,946,0.9536575382442876,0.7194166615773359,0.9999999983956783,8737370,2.3e-4,1.4e-4,5e-4
Sierra Leone,1381,156,0.7559173206632082,0.38767160999523154,0.9973538832656016,7976985,5.2e-5,2.5e-5,1.7e-4
Singapore,42736,1767,0.9651805559653776,0.8244652800152452,0.9999999994294835,5850343,6.3e-4,3.9e-4,0.0012
Sint Maarten,77,0,0.12471462587484697,0.04148282781229146,0.33198236032668926,42882,0,0,0
Slovakia,1630,78,0.7715470818718068,0.4550778342326481,0.9982338881234989,5459643,3.7e-5,1.9e-5,1e-4
Slovenia,1547,48,0.1966087504522298,0.1060618745471434,0.3935421316908895,2078932,2.3e-4,7.6e-5,7.3e-4
Somalia,2878,220,0.8318856395976663,0.5625164252650658,0.9957294467643507,15893219,3.3e-5,1.8e-5,8.2e-5
South Africa,118375,42041,0.5681381284738033,0.49007247052575015,0.6528541170447135,59308690,0.0025,0.0014,0.0048
South Korea,12602,404,0.8980356157060038,0.6396717152963862,0.9999412046827958,51269183,1.8e-5,1e-5,4.1e-5
South Sudan,1942,166,0.6481255667448408,0.409167532257812,0.947404353558248,11193729,4.6e-5,2e-5,1.2e-4
Spain,247486,2803,0.03207018522902297,0.027419262304354486,0.036956276148227586,46754783,0.0037,0.0021,0.0073
Sri Lanka,2010,95,0.9441452632938749,0.7670558597266672,0.9999999483243232,21413250,9.4e-6,5.8e-6,1.9e-5
Sudan,8984,1244,0.31054291396751044,0.22248614130316408,0.4150745503134142,43849269,1.8e-4,8.9e-5,4.3e-4
Sweden,63890,10567,0.4868192355096455,0.41157782971133056,0.5679696596121597,10099270,0.0043,0.0024,0.0085
Switzerland,31345,282,0.4469795067229048,0.29893054259688534,0.6510915022110327,8654618,1.5e-4,6.5e-5,3.6e-4
Tajikistan,5691,531,0.9874502533638743,0.866262478337309,1,9537642,1.1e-4,7.2e-5,2.1e-4
Thailand,3158,23,0.7963673854266843,0.4826883477226073,0.9998136222920175,69799978,8.3e-7,4.3e-7,2.3e-6
Togo,588,51,0.8308422329629574,0.4823239314787105,0.9999436429584554,8278737,1.5e-5,8e-6,4.3e-5
Tunisia,1162,37,0.5463507853451681,0.22363214757801828,0.9930127110049121,11818618,1.1e-5,4.1e-6,4.7e-5
Turkey,193115,11817,0.8243922657334999,0.6906302880945493,0.9484312748178078,84339067,3.4e-4,1.9e-4,6.8e-4
Ukraine,40008,7532,0.5330179407883566,0.42237438631513924,0.656137166728458,43733759,6.5e-4,3.4e-4,0.0014
United Arab Emirates,46563,3581,0.9848631188496336,0.8712250677842976,1,9890400,7.4e-4,4.7e-4,0.0014
United Kingdom,307980,9844,0.1796731956398471,0.15428741062772455,0.20689253776159908,67886004,0.0016,9.1e-4,0.0031
United Republic of Tanzania,509,0,0.6008384831194983,0.2809012955337584,0.9852668907324251,59734213,0,0,0
United States of America,2422310,284579,0.5462431729087107,0.48142732754515016,0.6052037455313216,331002647,0.0031,0.0018,0.006
Uruguay,907,58,0.43034175783376527,0.17464050839845716,0.8046138568450371,3473727,7.8e-5,2.7e-5,3.2e-4
Uzbekistan,7228,1667,0.9815248698702719,0.9101771265821285,0.9999999999910059,33469199,1e-4,6.5e-5,1.8e-4
Venezuela,4563,1413,0.9417293733165158,0.7720976221755156,0.9999997306034656,28435943,1.1e-4,6.5e-5,2.1e-4
Yemen,1076,187,0.13408567473772307,0.07789050767905624,0.2122077575226733,29825968,9.4e-5,3.8e-5,2.7e-4
Zambia,1497,92,0.5181175357922666,0.19446042977710054,0.933179272915517,18383956,1.9e-5,7e-6,8.6e-5
